"","pleiades_title","n"
"456","Dierna",1
"457","Ditiones",1
"458","Doberos",1
"459","Durocotorum",1
"460","Eburacum",1
"461","Eburodunum",1
"462","Ecbatana/Hagmatana/Achmeta/Epiphaneia/Ahmadan",1
"463","Edeba",1
"464","Edeta/Leiria",1
"465","Elaiatis",1
"466","Emporiae",1
"467","Ephesos/Arsinoe(ia)",1
"468","Ephesus//Arsinoe(ia)",1
"469","Equilum",1
"470","Euporia",1
"471","Feltria",1
"472","Ferentium",1
"473","Flanona",1
"474","Flavia Solva",1
"475","Focunates",1
"476","Formiae",1
"477","Forum Augusti",1
"478","Forum Cananefatium/Forum Hadriani",1
"479","Forum Fulvii Valentium",1
"480","Forum Segusiavorum",1
"481","Frentrani",1
"482","Frisii",1
"483","Galatia",1
"484","Gallia",1
"485","Gangra",1
"486","Gazaion Limen/Constantia/Neapolis",1
"487","Genua",1
"488","Gerasa/Antiochia ad Chrysorhoam",1
"489","Germanicum",1
"490","Getae",1
"491","Gillium",1
"492","Guium?",1
"493","Hadrumentum/Iustinianopolis",1
"494","Hierapolis ",1
"495","Hierapytna",1
"496","Hippo Regius",1
"497","Hipponion/Vibo Valentia",1
"498","Histonium",1
"499","Iamo/Iamna",1
"500","Ierusalem/Hierosolyma/Col. Aelia Capitolina",1
"501","Igilgili",1
"502","Iliturgicola",1
"503","Ilu(m)beris",1
"504","Industria/Bodincomagum?",1
"505","Ipsca",1
"506","Isaura (Nova)/Leontopolis",1
"507","Isauria",1
"508","Isinda",1
"509","Ismaris L. ",1
"510","It(o)uris(s)a/Turissa",1
"511","Jaén",1
"512","Karia (Late Roman Province)",1
"513","Katane/Catina",1
"514","Katane/Catine",1
"515","Kikonion",1
"516","Kition",1
"517","Klabene",1
"518","Lacippo",1
"519","Lambaesis",1
"520","Lancia/Lance",1
"521","Laodicea ad Libanum",1
"522","Laodicea ad Lycum/Diospolis/Roas",1
"523","Lapidaria?",1
"524","Lappa",1
"525","Latium (region)",1
"526","Laud (River)",1
"527","Leuci",1
"528","Lexovii",1
"529","Libarna",1
"530","Libya",1
"531","Lixus",1
"532","Lucentum",1
"533","Lycaonia",1
"534","Lydia/Maionia (Region)",1
"535","Maezaei",1
"536","Malaca",1
"537","Malus",1
"538","Margi di Giarratana",1
"539","Maurusii",1
"540","Mazaka",1
"541","Melite",1
"542","Mentesa",1
"543","Menthymna",1
"544","Mevaniola",1
"545","Misenum",1
"546","Mopsion",1
"547","Municipium Aurelium Commodianum/Thibiuca?",1
"548","Mylasa",1
"549","Namnasa (River)",1
"550","Napoca",1
"551","Nestos/Hippius (River)",1
"552","Nicopolis ad Nestum/Ulpia Nicopoliis",1
"553","Nicopolis ad Nestum/Ulpia Nicopolis",1
"554","Ninica/Col. Iulia Augusta Felix/Claudiopolis",1
"555","Nitiobroges/Nitiobriges",1
"556","Noiodounon Diablintum",1
"557","Nomentum",1
"558","Novaesium",1
"559","Numidia (region)",1
"560","Onuba",1
"561","Oretania/Oretani",1
"562","Osroene",1
"563","Ossigi",1
"564","Ovilava",1
"565","Palaestina II (Late Roman Province)",1
"566","Panapio/Punicum",1
"567","Pannoniae",1
"568","Paraetonium/Ammonia",1
"569","Pergamos?",1
"570","Pergamum",1
"571","Perusia",1
"572","Phrygia",1
"573","Picenum (Region)",1
"574","Pictones",1
"575","Pisa ",1
"576","Pistoriae",1
"577","Plati",1
"578","Pompeiacum/Vernemetis",1
"579","Pompeii",1
"580","Pompeiopolis/Sebaste",1
"581","Porolissum",1
"582","Prusa",1
"583","Rachle/Zenopolis",1
"584","Ramista",1
"585","Rema",1
"586","Rhodos (Island)",1
"587","Romula/Malva",1
"588","Rouskinon/Tetus (River)",1
"589","Runicates",1
"590","Sabini",1
"591","Sabora",1
"592","Saetabis",1
"593","Sagalassos",1
"594","Sala",1
"595","Salaria?",1
"596","Saletio",1
"597","Salluntum",1
"598","Salvia",1
"599","Salvium",1
"600","Samaria (Region)",1
"601","Samos",1
"602","Sardinia (island)",1
"603","Sardis/Hyde",1
"604","Savia",1
"605","Scandinavia/Scandza",1
"606","Scardona",1
"607","Scarponna",1
"608","Scordiscus (mountain)",1
"609","Scythopolis/Nysa",1
"610","Sebastopolis/Herakleopolis/Karana?",1
"611","Segeste Tigulliorum",1
"612","Segobriga",1
"613","Segontium",1
"614","Segovia",1
"615","Segusio?",1
"616","Senones",1
"617","Sentii",1
"618","Sentinum",1
"619","Septempeda",1
"620","Sequana (river)",1
"621","Seriane?",1
"622","Sexi/Saxetanum",1
"623","Sidon/Col. Aurelia Pia",1
"624","Singilis (River)",1
"625","Siparis",1
"626","Sirmium",1
"627","Smintheion",1
"628","Solia",1
"629","Solva",1
"630","Staryy Krym",1
"631","Statieli",1
"632","Statielli",1
"633","Stratonos Pyrgos /Caesarea",1
"634","Suessatium",1
"635","Sufes",1
"636","Sufetula",1
"637","Sulmo",1
"638","Sunuci",1
"639","Synaos",1
"640","Syria",1
"641","Tanda",1
"642","Tarvisium",1
"643","Termes",1
"644","Tert",1
"645","Teurnia",1
"646","Thisbe",1
"647","Tiberiopoulis?",1
"648","Ticinum",1
