,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title,MachineGeocoded,PossiblePlacename1,Note,Source,Lat1,Long1,Certainty,SourceURL(e.g. Pleiades id number or URL),PossiblePlace2,Note,Lat2,Long2,Link_or_Ref
3700,HD001648/1,HD001648,civis Raetus*,Raetus,187523,,47.727498,10.326578,Raetia,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
3770,HD001677/1,HD001677,Bracarus+ castello+ Durbede,Bracarus castello Durbede,236377,,41.550875,-8.424973,Bracara Augusta,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
3838,HD001705/1,HD001705,Celeia,Celeia,197206,['Celeia'],46.219721,15.27184,Celeia,Y,,,Pleiades,,,certain,,,,,,
3843,HD001707/1,HD001707,Mediolaniensis*,Mediolaniensis,138458,,45.744175,-0.633389,Mediolanum,,Mediolanum,,Pleiades,46.5608687,2.1962014,uncertain (another good variant exists),https://pleiades.stoa.org/places/138459,Mediolanum,,52.967,-2.681,https://pleiades.stoa.org/places/79597
3885,HD001722/1,HD001722,Ticinum,Ticinum,383798,['Ticinum'],45.185899,9.156562,Ticinum,Y,,,Pleiades,,,certain,,,,,,
3893,HD001726/1,HD001726,Betifulum,Betifulum,438694,['Betifulum'],,,Betifulum,,,,Pleiades,,,certain,,,,,,
3919,HD001737/1,HD001737,Sirmio*,Sirmio,383781,['Sirmio'],45.492485,10.60805,Sirmio,Y,,,Pleiades,,,certain,,,,,,
4011,HD001766/1,HD001766,domo Claudia* Calebus*,Claudia Calebus,256005,,36.08982419,-5.774475804,B(a)elo,,,,Pleiades,,,wild guess,,,,,,
4022,HD001770/1,HD001770,Curicum,Curicum,197235,['Curicum'],45.026156,14.573372,Curicum,Y,,,Pleiades,,,certain,,,,,,
4032,HD001774/1,HD001774,Siscia,Siscia,197504,"['Segestica', 'Siscia']",45.483168,16.371388,Segestica/Siscia,Y,,,Pleiades,,,certain,,,,,,
4034,HD001775/1,HD001775,ex colonia Catinense,colonia Catinense,462270,,37.502959,15.088142,Katane/Catine,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
4130,HD001812/1,HD001812,Chalcis*,Chalcis,540703,['Chalcis'],38.457139,23.621937,Chalcis,Y,,,Pleiades,,,certain,,,,,,
4140,HD001818/1,HD001818,domo Iulia Tridentum,Iulia Tridentum,383804,,46.0667685,11.119135,Trident(i)um,,,,Pleiades,,,certain,,,,,,
4145,HD001821/1,HD001821,domo Zigali Afer,Zigali Afer,321722,,,,Zigalis/Zigali,,,,Pleiades,,,certain,,,,,,
4188,HD001847/1,HD001847,Beneventum*,Beneventum,432721,"['Beneventum', 'Maleventum']",41.130437,14.781161,Beneventum/Maleventum,Y,,,Pleiades,,,certain,,,,,,
4226,HD001876/1,HD001876,Emerita*,Emerita,256155,,38.9160965,-6.340100667,Emerita Augusta,,,,Pleiades,,,certain,,,,,,
4284,HD001909/1,HD001909,Corneliensis,Corneliensis,442555,,41.746851,15.329985,Corneli,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
4295,HD001914/1,HD001914,ex provincia Lugdunensi,provincia Lugdunensi,981528,,47.92642274,0.1373610746,Lugdunensis (Province),,,,Pleiades,,,certain,,,,,,
