,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title,MachineGeocoded,PossiblePlacename1,Note,Source,Lat1,Long1,Certainty,SourceURL(e.g. Pleiades id number or URL),PossiblePlace2,Note,Lat2,Long2,Link_or_Ref
34453,HD033466/32,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34461,HD033466/40,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34466,HD033466/45,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34467,HD033466/46,HD033466,castris+*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34468,HD033466/47,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34470,HD033466/49,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34479,HD033466/58,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34482,HD033466/61,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34484,HD033466/63,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34487,HD033466/66,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34489,HD033466/68,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34493,HD033466/72,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34497,HD033466/76,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34500,HD033466/79,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34503,HD033466/82,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
34506,HD033466/85,HD033466,castris*,castris,334570,,35.48993612,6.254809526,Lambaesis,,,Adela Review,Pleiades,,,uncertain (another good variant exists),,,,,,
34474,HD033466/53,HD033466,Cillio*,Cillio,981514,,37.5,32.5,Cilicia,,Cilicia,,Pleiades,36.58645514,33.91058048,uncertain (another good variant exists),658440,,,,,
34492,HD033466/71,HD033466,Cillio*,Cillio,981514,,37.5,32.5,Cilicia,,Cilicia,,Pleiades,36.58645514,33.91058048,uncertain (another good variant exists),658440,,,,,
34427,HD033466/6,HD033466,Cirta+*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34429,HD033466/8,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34430,HD033466/9,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34431,HD033466/10,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34433,HD033466/12,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34437,HD033466/16,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34440,HD033466/19,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34441,HD033466/20,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34446,HD033466/25,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34449,HD033466/28,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34450,HD033466/29,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34456,HD033466/35,HD033466,Cirta,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34462,HD033466/41,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34463,HD033466/42,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34464,HD033466/43,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34475,HD033466/54,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34476,HD033466/55,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34477,HD033466/56,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34490,HD033466/69,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34507,HD033466/86,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34510,HD033466/89,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34514,HD033466/93,HD033466,Cirta*,Cirta,305064,"['Cirta', 'Constantina']",36.36811467,6.613302667,Cirta/Constantina,Y,,,Pleiades,,,certain,,,,,,
34455,HD033466/34,HD033466,Cuicule*,Cuicule,305068,,36.3176905,5.73668362,Cuicul,,,,Pleiades,,,certain,,,,,,
34459,HD033466/38,HD033466,Cuicule*,Cuicule,305068,,36.3176905,5.73668362,Cuicul,,,,Pleiades,,,certain,,,,,,
34508,HD033466/87,HD033466,Diana*,Diana,207077,,44.63068233,22.563687,*Diana,,,,Pleiades,,,uncertain (another good variant exists),,,,,,
34454,HD033466/33,HD033466,Hadrumeto*,Hadrumeto,324716,,35.825866,10.63878,Hadrumentum/Iustinianopolis,,,,Pleiades,,,certain,,,,,,
34483,HD033466/62,HD033466,Hippone*,Hippone,305090,,36.882478,7.751272,Hippo Regius,,,,Pleiades,,,certain,,,,,,
34501,HD033466/80,HD033466,Hippone*,Hippone,305090,,36.882478,7.751272,Hippo Regius,,,,Pleiades,,,certain,,,,,,
34513,HD033466/92,HD033466,Hippone*,Hippone,305090,,36.882478,7.751272,Hippo Regius,,,,Pleiades,,,certain,,,,,,
34438,HD033466/17,HD033466,Karthagine*,Karthagine,991327,,37.5,-2.5,Carthaginiensis,,,,Pleiades,,,certain,,,,,,
34447,HD033466/26,HD033466,Karthagine+*,Karthagine,991327,,37.5,-2.5,Carthaginiensis,,,,Pleiades,,,certain,,,,,,
34465,HD033466/44,HD033466,Karthagine*,Karthagine,991327,,37.5,-2.5,Carthaginiensis,,,,Pleiades,,,certain,,,,,,
34473,HD033466/52,HD033466,Karthagine*,Karthagine,991327,,37.5,-2.5,Carthaginiensis,,,,Pleiades,,,certain,,,,,,
34480,HD033466/59,HD033466,Karthagine*,Karthagine,991327,,37.5,-2.5,Carthaginiensis,,,,Pleiades,,,certain,,,,,,
34494,HD033466/73,HD033466,Karthagine*,Karthagine,991327,,37.5,-2.5,Carthaginiensis,,,,Pleiades,,,certain,,,,,,
34495,HD033466/74,HD033466,Karthagine*,Karthagine,991327,,37.5,-2.5,Carthaginiensis,,,,Pleiades,,,certain,,,,,,
34505,HD033466/84,HD033466,Karthagine*,Karthagine,991327,,37.5,-2.5,Carthaginiensis,,,,Pleiades,,,certain,,,,,,
34485,HD033466/64,HD033466,Lambaese*,Lambaese,334570,,35.48993612,6.254809526,Lambaesis,,,,Pleiades,,,certain,,,,,,
34511,HD033466/90,HD033466,N[---],N[---],,,,,,,,Adela Review,,,,,,,,,,
34478,HD033466/57,HD033466,Simitthu*,Simitthu,315174,['Simitthu'],36.490103,8.5753105,Simitthu,Y,,,Pleiades,,,certain,,,,,,
34457,HD033466/36,HD033466,Thamugade*,Thamugade,334636,,35.4852165,6.4682225,Thamugadi,,,,Pleiades,,,certain,,,,,,
34481,HD033466/60,HD033466,Thamugade*,Thamugade,334636,,35.4852165,6.4682225,Thamugadi,,,,Pleiades,,,certain,,,,,,
34488,HD033466/67,HD033466,Thamugade*,Thamugade,334636,,35.4852165,6.4682225,Thamugadi,,,,Pleiades,,,certain,,,,,,
34499,HD033466/78,HD033466,Thamugade*,Thamugade,334636,,35.4852165,6.4682225,Thamugadi,,,,Pleiades,,,certain,,,,,,
34428,HD033466/7,HD033466,Theveste*,Theveste,324831,['Theveste'],35.404174,8.1223145,Theveste,Y,,,Pleiades,,,certain,,,,,,
34460,HD033466/39,HD033466,Theveste*,Theveste,324831,['Theveste'],35.404174,8.1223145,Theveste,Y,,,Pleiades,,,certain,,,,,,
34486,HD033466/65,HD033466,Theveste*,Theveste,324831,['Theveste'],35.404174,8.1223145,Theveste,Y,,,Pleiades,,,certain,,,,,,
34509,HD033466/88,HD033466,Theveste*,Theveste,324831,['Theveste'],35.404174,8.1223145,Theveste,Y,,,Pleiades,,,certain,,,,,,
34515,HD033466/94,HD033466,Thusdro* (=Thysdro*),Thusdro (=Thysdro),324835,,35.2960575,10.707584,Thydrus,,,,Pleiades,,,certain,,,,,,
34498,HD033466/77,HD033466,Tipasa+*,Tipasa,295363,['Tipasa'],36.59424268,2.441917728,Tipasa,Y,,,Pleiades,,,certain,,,,,,
34512,HD033466/91,HD033466,Tipasa*,Tipasa,295363,['Tipasa'],36.59424268,2.441917728,Tipasa,Y,,,Pleiades,,,certain,,,,,,
34861,HD033677/1,HD033677,Sirmi,Sirmi,383781,,45.492485,10.60805,Sirmio,,Sirmium,,Pleiades,44.966447,19.610106,uncertain (another good variant exists),https://pleiades.stoa.org/places/207447,,,,,
35015,HD033796/1,HD033796,domo* Inaquiese,Inaquiese,108748,,48.759799,8.239789,Aquae,,Aquae,,Pleiades,48.006138,16.2323655,wild guess,https://pleiades.stoa.org/places/128355,,,,,
35074,HD033848/1,HD033848,Scardonitana*,Scardonitana,197502,,43.817746,15.922959,Scardona,,,,Pleiades,,,certain,,,,,,
35076,HD033849/1,HD033849,Risinii+*,Risinii,197471,,42.514718,18.694988,Rhizon/Risinium,,,,Pleiades,,,certain,,,,,,
35152,HD033885/1,HD033885,Oescenses*? (= Oescensis*?),Oescensis,216907,,43.70403,24.4738875,Oescus,,,,Pleiades,,,certain,,,,,,
35378,HD034050/1,HD034050,Samanna,Samanna,678369,,32.331417,35.228586,Samaria (Region),,,,Pleiades,,,wild guess,,,,,,
35437,HD034091/1,HD034091,natione+ Britto+,Britto,981513,,51.513335,-0.088949,Britannia (Province),,,,Pleiades,,,certain,,,,,,
35542,HD034145/1,HD034145,domo Alexandria,Alandria,614587,,,,Alandrus,,Alexandria,,Pleiades,31.201435,29.909773,uncertain (another good variant exists),https://pleiades.stoa.org/places/727070,,,,,
35556,HD034154/1,HD034154,domo+ Verona?,Verona,383816,['Verona'],45.44212955,10.99573601,Verona,Y,,,Pleiades,,,certain,,,,,,
35670,HD034234/1,HD034234,domo Conana,Conana,638813,"['Conana', 'Iustinianopolis']",37.955905,30.5129015,Conana/Iustinianopolis?,Y,,,Pleiades,,,certain,,,,,,
35679,HD034239/1,HD034239,domo* Aloro,Aloro,491519,,40.588605,22.597349,Aloros,,,,Pleiades,,,certain,,,,,,
35682,HD034241/1,HD034241,domo Pessinunte,Pessinunte,609500,,39.33288187,31.58356062,Pessinous/Iustinianoupolis,,Pessinos,,Pleiades,,,uncertain (another good variant exists),https://pleiades.stoa.org/places/652364,,,,,
35683,HD034242/1,HD034242,domo+ Velauno+,Velauno,383811,['Veleia'],44.78529,9.72159425,Veleia,,,,Pleiades,,,certain,,,,,,
35684,HD034243/1,HD034243,domo+ Elococi+,Elococi,,,,,,,,Adela Review,,,,,,,,,,
35772,HD034287/1,HD034287,Augusta,Augusta,648577,"['Augusta', 'Augustopolis', '[Thebae]']",37.245212,35.344087,Augusta/Augustopolis/[Thebae]?,Y,,,Pleiades,,,certain,,,,,,
35777,HD034293/1,HD034293,Conana,Conana,638813,"['Conana', 'Iustinianopolis']",37.955905,30.5129015,Conana/Iustinianopolis?,Y,,,Pleiades,,,certain,,,,,,
35779,HD034294/1,HD034294,Ninica,Ninica,648723,"['Ninica', 'Col. Iulia Augusta Felix', 'Claudiopolis']",36.64252433,33.43940333,Ninica/Col. Iulia Augusta Felix/Claudiopolis,Y,,,Pleiades,,,certain,,,,,,
35891,HD034363/1,HD034363,Caonatus+?,Cao,246318,,41.961262,-0.001435,Caum,,,,Pleiades,,,certain,,,,,,
35914,HD034384/1,HD034384,Fa(---),Fa(---),,,,,,,,Adela Review,,,,,,,,,,
35915,HD034385/1,HD034385,Aug(---) Ne(---),Aug(---) Ne(---),109224,,49.3172545,8.436718,Noviomagus/Nemetae,,,,Pleiades,,,certain,,,,,,
35916,HD034386/1,HD034386,Como,Como,383627,,45.81192,9.085784,Comum,,,,Pleiades,,,certain,,,,,,
35918,HD034387/1,HD034387,domo Foro+ Claudi,Foro Claudi,167859,,46.100848,7.073918,Octodurus/Forum Claudii Vallensium,,Axima/Forum Claudii Ceutronum,,Pleiades,45.556944,6.653224,uncertain (another good variant exists),https://pleiades.stoa.org/places/167663,,,,,
35920,HD034388/1,HD034388,Tavia,Tavia,619267,,39.873826,34.47186325,Taouion/Tabia,Y,,,Pleiades,,,certain,,,,,,
35922,HD034389/1,HD034389,Verona*,Verona,383816,['Verona'],45.44212955,10.99573601,Verona,Y,,,Pleiades,,,certain,,,,,,
35923,HD034390/1,HD034390,domo Brixia,Brixia,383603,['Brixia'],45.539773,10.223135,Brixia,Y,,,Pleiades,,,certain,,,,,,
35925,HD034391/1,HD034391,domo* Cyrrho*,Cyrrho,491647,,40.805298,22.2912025,Kyrros,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
36001,HD034434/1,HD034434,domo Isinda,Isinda,638871,['Isinda'],36.177475,29.6909065,Isinda,Y,,,Pleiades,,,certain,,,,,,
36003,HD034435/1,HD034435,domo Pasimoae!,Pasimoae,,,,,,,,Adela Review,,,,,,,,,,
36008,HD034439/1,HD034439,domo Augusta* Praetoria+*,Augusta Praetoria,383579,['Augusta Praetoria'],45.737444,7.3161705,Augusta Praetoria,Y,,,Pleiades,,,certain,,,,,,
36020,HD034445/1,HD034445,domo* Troade,Troade,550944,,39.813107,26.164143,Troas (Region),,,,Pleiades,,,certain,,,,,,
36021,HD034446/1,HD034446,ex Dacia,Dacia,981518,['Dacia'],47.5,22.5,Dacia (province),Y,,,Pleiades,,,certain,,,,,,
36134,HD034509/1,HD034509,natus Salonis,Salonis,197488,,43.539561,16.483426,Salona,,,,Pleiades,,,certain,,,,,,
36304,HD034618/1,HD034618,Mediolano*,Mediolano,138458,,45.744175,-0.633389,Mediolanum,,Mediolanum,,Pleiades,46.5608687,2.1962014,uncertain (another good variant exists),https://pleiades.stoa.org/places/138459,Mediolanum,,52.967,-2.681,https://pleiades.stoa.org/places/79597
36316,HD034625/1,HD034625,natione+ Daco,Daco,981518,['Dacia'],47.5,22.5,Dacia (province),,,,Pleiades,,,certain,,,,,,
36404,HD034678/1,HD034678,domo Aquileia,Aquileia,187290,['Aquileia'],45.768945,13.3677735,Aquileia,Y,,,Pleiades,,,certain,,,,,,
36596,HD034784/2,HD034784,Salonitanus*,Salonitanus,197488,,43.539561,16.483426,Salona,,,,Pleiades,,,certain,,,,,,
36597,HD034785/1,HD034785,civis Afer,Afer,775,,32.5,7.5,Africa (region),,,,Pleiades,,,certain,,,,,,
36622,HD034797/2,HD034797,cibe+ (= cive+) Salonitana+,Salonitana,197488,,43.539561,16.483426,Salona,,,,Pleiades,,,certain,,,,,,
36804,HD034916/1,HD034916,civitate* Viminacio* nato+*,tate Viminacio,207549,,44.7266235,21.1913635,Viminacium,,Viminacium,,Pleiades,42.329158,-4.803655,uncertain (another good variant exists),https://pleiades.stoa.org/places/236721,,,,,
36884,HD035029/1,HD035029,civus [---]enus,[---]enus,,,,,,,,Adela Review,,,,,,,,,,
36890,HD035030/4,HD035030,cives Saviensis+,Saviensis,991357,,47.5,17.5,Savia,,,,Pleiades,,,certain,,,,,,
36926,HD035053/1,HD035053,Daca,Daca,981518,['Dacia'],47.5,22.5,Dacia (province),,,,Pleiades,,,certain,,,,,,
37176,HD035205/1,HD035205,domo Siscia*,Siscia,197504,"['Segestica', 'Siscia']",45.483168,16.371388,Segestica/Siscia,Y,,,Pleiades,,,certain,,,,,,
37282,HD035261/1,HD035261,Batavus+,Batavus,118590,,48.573506,13.463921,Batavi,,,,Pleiades,,,certain,,,,,,
37370,HD035321/1,HD035321,Celeia*,Celeia,197206,['Celeia'],46.219721,15.27184,Celeia,Y,,,Pleiades,,,certain,,,,,,
37419,HD035344/1,HD035344,Μειλητοπολείτης+,Μειλητοπολείτης+,226686,,46.83333,35.366676,Melitopol,,,Meilētopolis,Pleiades,,,wild guess,,,,,,
37484,HD035385/1,HD035385,civis+ Salviata,Salviata,197490,,44.067371,16.779488,Salvia,,,,Pleiades,,,certain,,,,,,
37496,HD035392/1,HD035392,domo Florentia,Florentia,413138,['Florentia'],43.768755,11.256929,Florentia,Y,,,Pleiades,,,certain,,,,,,
37518,HD035397/1,HD035397,Verona*,Verona,383816,['Verona'],45.44212955,10.99573601,Verona,Y,,,Pleiades,,,certain,,,,,,
37525,HD035401/1,HD035401,Viana+* (= Vienna+*),Vienna,128537,,48.211345,16.373946,Vindobona,,Col. Vienna,,Pleiades,45.5245105,4.875982,uncertain (another good variant exists),https://pleiades.stoa.org/places/167719,,,,,
37527,HD035402/1,HD035402,Bononia*,Bononia,393421,"['Felsina', 'Bononia']",44.4945737,11.3455467,Felsina/Bononia,Y,,,Pleiades,,,certain,,,,,,
37545,HD035420/1,HD035420,Apamenus,Apamenus,658385,,37.067994,37.870076,Apamea,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
37560,HD035430/1,HD035430,Σμυρναῖος,Σμυρναῖος,550771,,38.440912,27.14781,Naulochon/Smyrna/Palaia Smyrna,,,,Pleiades,,,certain,,,,,,
37585,HD035448/1,HD035448,Scupi*,Scupi,481987,['Scupi'],42.0084425,21.4124805,Scupi,Y,,,Pleiades,,,certain,,,,,,
37849,HD035618/1,HD035618,Liburnus*,Liburnus,197353,,44.4060888,15.12913976,Liburnia (Region),,,,Pleiades,,,certain,,,,,,
37974,HD035684/3,HD035684,Syrus,Syrus,981550,,37.5,37.5,Syria (Roman Imperial Province),,,,Pleiades,,,certain,,,,,,
38215,HD035781/1,HD035781,Bracara,Bracara,236377,,41.550875,-8.424973,Bracara Augusta,,,,Pleiades,,,certain,,,,,,
38216,HD035782/1,HD035782,Brixxia* (= Brixia*),Brixia,383603,['Brixia'],45.539773,10.223135,Brixia,Y,,,Pleiades,,,certain,,,,,,
38390,HD035869/1,HD035869,urbe Palestina genitum,urbe Palestina genitum,423013,,41.8394835,12.8923075,Praeneste,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
38460,HD035906/1,HD035906,Ταρσεὺς,Ταρσεὺς,648789,,36.914956,34.898228,Tarsus/Antiochia ad Cydnum,,,,Pleiades,,,certain,,,,,,
38493,HD035935/1,HD035935,Κα[π]ροβήλων,Κα[π]ροβήλων,658495,,36.370769,36.938322,Kaprobarada,,,,Pleiades,,,wild guess,,,,,,
38507,HD035957/1,HD035957,Ἀθηναῖος*,Ἀθηναῖος*,579885,,37.9724536,23.72626822,Athenae,,,,Pleiades,,,certain,,,,,,
38551,HD036004/1,HD036004,domo Luco* Vocontiorum*,Luco Vocontiorum,167716,,44.752363,5.370412,Col. Dea Vocontiorum,,,,Pleiades,,,certain,,,,,,
38561,HD036042/1,HD036042,domo+ Salonis,Salonis,197488,,43.539561,16.483426,Salona,,,,Pleiades,,,certain,,,,,,
38575,HD036047/1,HD036047,Placentia,Placentia,383741,['Placentia'],45.0525855,9.6976645,Placentia,Y,,,Pleiades,,,certain,,,,,,
38578,HD036049/1,HD036049,Stobis,Stobis,491731,['Stobi'],41.55232927,21.97440096,Stobi,,,,Pleiades,,,certain,,,,,,
38608,HD036062/1,HD036062,Antiochia,Antiochia,912872,"['Jebel Khayabir', 'Alexandria', 'Antiochia', 'Spasinou Charax', 'Karkh Maisan', '[Astarabad Ardashir]']",30.719479,47.561886,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?,Y,,,Pleiades,,,uncertain (another good variant exists),,,,,,
38623,HD036069/1,HD036069,domo* Methymneus,Methymneus,550738,,39.369167,26.176891,Menthymna,,,,Pleiades,,,certain,,,,,,
38643,HD036079/1,HD036079,Gaditanus+*? pago R[---] natione+ Hispanus+,Gaditanus pago R[---] Hispanus,255955,,36.596953,-6.2275256,Ad Portum/Gadiatanus Portus,,Herakleios Porthmos/Gaditanum Fretum,,Pleiades,35.971667,-5.485833,uncertain (another good variant exists),https://pleiades.stoa.org/places/256198,,,,,
38724,HD036114/1,HD036114,civis Germaniceus+ ex vico Abdarmisu (= Abdarmiso),Germaniceus vico Abdarmiso,118697,,48.810891,11.499781,Germanicum,,,,Pleiades,,,certain,,,,,,
38904,HD036252/3,HD036252,Tricorniensis+,Tricorniensis,207514,,44.62234884,20.47916881,Tricorn(i)enses,,,,Pleiades,,,certain,,,,,,
38905,HD036253/1,HD036253,Luco,Luco,236525,,43.0106145,-7.5570105,Lucus Augusti,,,,Pleiades,,,uncertain (name could be interpreted differently),,,,,,
38953,HD036280/1,HD036280,domo+ Arelate ex provincia+ Narbonensi+*,Arelate provincia Narbonensi,148217,,43.677616,4.630799,Theline/ Col. Arelate/Constantina,,,,Pleiades,,,certain,,,,,,
39005,HD036382/1,HD036382,ἀπὸ ἐποικίου* Ἀττάλου,ἀπὸ ἐποικίου* Ἀττάλου,23296898,,40.11905925,29.30790136,Hellenopolis,,Attalea,"Most likely one of these three, but could be any Attalid colony.",Pleiades,36.8903095,30.699968,uncertain (another good variant exists),https://pleiades.stoa.org/places/638778,,Philadelpheia,38.35037355,28.516621,https://pleiades.stoa.org/places/550822
39007,HD036383/1,HD036383,Φενήσιος,Φενήσιος,570595,,37.919454,22.295238,Pheneos,,,,Pleiades,,,certain,,,,,,
39014,HD036386/1,HD036386,Λυδία,Λυδία,550701,,38.55344115,28.59370603,Lydia/Maionia (Region),,,,Pleiades,,,certain,,,,,,
39015,HD036387/1,HD036387,Ῥόδιος+?,Ῥόδιος+?,590031,,36.195597,27.964125,Rhodos (Island),,,,Pleiades,,,certain,,,,,,
39076,HD036437/1,HD036437,Νεσιβηνός+,Νεσιβηνός+,857246,,43.42558334,39.93707703,Nesis? (River),,Nesis (Island),,Pleiades,40.795278,14.163333,wild guess,https://pleiades.stoa.org/places/432980,,,,,
39088,HD036449/1,HD036449,κώμης Μαγ,κώμης Μαγ,,,,,,,,Adela Review,,,,,,,,,,
39107,HD036466/1,HD036466,Mediomatrico+,Mediomatrico,109154,,49.29403738,7.134177401,Mediomatrici,,,,Pleiades,,,certain,,,,,,
39145,HD036495/1,HD036495,domo Hascalone*,Hascalone,687839,,31.6659785,34.545947,Ashqelon/Ascalon,,,,Pleiades,,,wild guess,,,,,,
39168,HD036508/1,HD036508,civis *Mediomatricus*,Mediomatricus,109154,,49.29403738,7.134177401,Mediomatrici,,,,Pleiades,,,certain,,,,,,
39251,HD036563/1,HD036563,Mediolani,Mediolani,138458,,45.744175,-0.633389,Mediolanum,,Mediolanum,,Pleiades,46.5608687,2.1962014,uncertain (another good variant exists),https://pleiades.stoa.org/places/138459,Mediolanum,,52.967,-2.681,https://pleiades.stoa.org/places/79597
39322,HD036582/1,HD036582,cives*? Aeduus+*?,Aeduus,177533,,46.7677671,4.264672086,(H)Aedui,,,,Pleiades,,,certain,,,,,,
39379,HD036612/1,HD036612,cives (= civis) Kalagurritanus*,Kalagurritanus,246280,,42.325638,-0.611926,Calagurris *Fibularia,,Calagurris (Nassica) Iulia,,Pleiades,42.3026015,-1.9630805,uncertain (another good variant exists),https://pleiades.stoa.org/places/246279,,,,,
39428,HD036659/1,HD036659,Ἀνατολικός+,Ἀνατολικός+,1001136,,32.5,32.5,Anatolike,,,"very bad geographical location provided by Pleidias, which does not accurately show the correct area",Pleiades,,,uncertainty is in the latlong source,,,,,,
39439,HD036668/1,HD036668,ἀπ' ἐποικίου,ἀπ' ἐποικίου,,,,,,,,From a colony. No guess.,,,,,,,,,,
39442,HD036669/2,HD036669,κώμης* κ[--]προνανέων τῆς Ἀπαμέων,κώμης* κ[--]προνανέων τῆς Ἀπαμέων,638751,,38.06830103,30.16906628,Apamea/Kelainai/Kibotos,,,,Pleiades,,,wild guess,,,,,,
39446,HD036673/1,HD036673,ἀπὸ κώμης Αἰοῦς ὥρον Ἀπαμέων,ἀπὸ κώμης Αἰοῦς ὥρον Ἀπαμέων,,,,,,,,"Apameon, from the village of Aius?",,,,,,,,,,
39447,HD036674/1,HD036674,Σαμαρεῖτις+,Σαμαρεῖτις+,678369,,32.331417,35.228586,Samaria (Region),,Samaria/Sebaste,,Pleiades,32.276529,35.190436,uncertain (another good variant exists),https://pleiades.stoa.org/places/678370,,,,,
39455,HD036680/1,HD036680,civis* Dalmata ex municipio Magab(---),Dalmata municipio Magab(---),981522,,43.539561,16.483426,Dalmatia (province),,,,Pleiades,,,wild guess,,,,,,
39458,HD036680/4,HD036680,ex municipio Salvio,municipio Salvio,197491,,44.048361,16.751098,Salvium,,,,Pleiades,,,certain,,,,,,
39503,HD036716/1,HD036716,Aelia* Augusta*,Aelia Augusta,118580,"['Augusta Vindelicum', 'Aelia Augusta']",48.365463,10.894765,Augusta Vindelicum/Aelia Augusta,Y,,,Pleiades,,,certain,,,,,,
39540,HD036754/1,HD036754,κώμης* Σιγῶν,κώμης* Σιγῶν,550877,,39.9835305,26.180869,Sigeion,,,,Pleiades,,,certain,,,,,,
39546,HD036758/1,HD036758,Ἰαβάντων?,Ἰαβάντων?,,,,,,,,Adela Review,,,,,,,,,,
