,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title
35437,HD034091/1,HD034091,natione+ Britto+,Britto,,,,,
35542,HD034145/1,HD034145,domo Alexandria,Alandria,,,,,
35556,HD034154/1,HD034154,domo+ Verona?,Verona,383816.0,['Verona'],45.4421295463,10.9957360051,Verona
35670,HD034234/1,HD034234,domo Conana,Conana,638813.0,"['Conana', 'Iustinianopolis']",37.955905,30.5129015,Conana/Iustinianopolis?
35679,HD034239/1,HD034239,domo* Aloro,Aloro,,,,,
35682,HD034241/1,HD034241,domo Pessinunte,Pessinunte,,,,,
35683,HD034242/1,HD034242,domo+ Velauno+,Velauno,,,,,
35684,HD034243/1,HD034243,domo+ Elococi+,Elococi,,,,,
35772,HD034287/1,HD034287,Augusta,Augusta,648577.0,"['Augusta', 'Augustopolis', '[Thebae]']",37.245212,35.344087,Augusta/Augustopolis/[Thebae]?
35777,HD034293/1,HD034293,Conana,Conana,638813.0,"['Conana', 'Iustinianopolis']",37.955905,30.5129015,Conana/Iustinianopolis?
35779,HD034294/1,HD034294,Ninica,Ninica,648723.0,"['Ninica', 'Col. Iulia Augusta Felix', 'Claudiopolis']",36.6425243333,33.4394033333,Ninica/Col. Iulia Augusta Felix/Claudiopolis
35891,HD034363/1,HD034363,Caonatus+?,Cao,,,,,
35914,HD034384/1,HD034384,Fa(---),Fa(---),,,,,
35915,HD034385/1,HD034385,Aug(---) Ne(---),Aug(---) Ne(---),,,,,
35916,HD034386/1,HD034386,Como,Como,,,,,
35918,HD034387/1,HD034387,domo Foro+ Claudi,Foro Claudi,,,,,
35920,HD034388/1,HD034388,Tavia,Tavia,157935.0,['Tavia'],43.9465915,7.789478,Tavia (river)
35922,HD034389/1,HD034389,Verona*,Verona,383816.0,['Verona'],45.4421295463,10.9957360051,Verona
35923,HD034390/1,HD034390,domo Brixia,Brixia,383603.0,['Brixia'],45.539773,10.223135,Brixia
35925,HD034391/1,HD034391,domo* Cyrrho*,Cyrrho,,,,,
36001,HD034434/1,HD034434,domo Isinda,Isinda,638871.0,['Isinda'],36.177475,29.6909065,Isinda
36003,HD034435/1,HD034435,domo Pasimoae!,Pasimoae,,,,,
36008,HD034439/1,HD034439,domo Augusta* Praetoria+*,Augusta Praetoria,383579.0,['Augusta Praetoria'],45.737444,7.3161705,Augusta Praetoria
36019,HD034444/1,HD034444,domo [---],[---],,,,,
36020,HD034445/1,HD034445,domo* Troade,Troade,,,,,
36021,HD034446/1,HD034446,ex Dacia,Dacia,981518.0,['Dacia'],47.5,22.5,Dacia (province)
36134,HD034509/1,HD034509,natus Salonis,Salonis,,,,,
36304,HD034618/1,HD034618,Mediolano*,Mediolano,,,,,
36316,HD034625/1,HD034625,natione+ Daco,Daco,,,,,
36404,HD034678/1,HD034678,domo Aquileia,Aquileia,187290.0,['Aquileia'],45.768945,13.3677735,Aquileia
36596,HD034784/2,HD034784,Salonitanus*,Salonitanus,,,,,
36597,HD034785/1,HD034785,civis Afer,Afer,,,,,
36622,HD034797/2,HD034797,cibe+ (= cive+) Salonitana+,Salonitana,,,,,
36804,HD034916/1,HD034916,civitate* Viminacio* nato+*,tate Viminacio ,,,,,
36884,HD035029/1,HD035029,civus [---]enus,[---]enus,,,,,
36890,HD035030/4,HD035030,cives Saviensis+,Saviensis,,,,,
36926,HD035053/1,HD035053,Daca,Daca,,,,,
37176,HD035205/1,HD035205,domo Siscia*,Siscia,197504.0,"['Segestica', 'Siscia']",45.483168,16.371388,Segestica/Siscia
37282,HD035261/1,HD035261,Batavus+,Batavus,,,,,
37370,HD035321/1,HD035321,Celeia*,Celeia,197206.0,['Celeia'],46.219721,15.27184,Celeia
37419,HD035344/1,HD035344,Μειλητοπολείτης+,Μειλητοπολείτης+,,,,,
37484,HD035385/1,HD035385,civis+ Salviata,Salviata,,,,,
37496,HD035392/1,HD035392,domo Florentia,Florentia,413138.0,['Florentia'],43.768755,11.256929,Florentia
37518,HD035397/1,HD035397,Verona*,Verona,383816.0,['Verona'],45.4421295463,10.9957360051,Verona
37520,HD035398/1,HD035398,domo+? [---],[---],,,,,
37525,HD035401/1,HD035401,Viana+* (= Vienna+*),Vienna,,,,,
37527,HD035402/1,HD035402,Bononia*,Bononia,393421.0,"['Felsina', 'Bononia']",44.4945737,11.3455467,Felsina/Bononia
37545,HD035420/1,HD035420,Apamenus,Apamenus,,,,,
37560,HD035430/1,HD035430,Σμυρναῖος,Σμυρναῖος,,,,,
37585,HD035448/1,HD035448,Scupi*,Scupi,481987.0,['Scupi'],42.0084425,21.4124805,Scupi
37849,HD035618/1,HD035618,Liburnus*,Liburnus,,,,,
37974,HD035684/3,HD035684,Syrus,Syrus,,,,,
38215,HD035781/1,HD035781,Bracara,Bracara,,,,,
38216,HD035782/1,HD035782,Brixxia* (= Brixia*),Brixia,383603.0,['Brixia'],45.539773,10.223135,Brixia
38390,HD035869/1,HD035869,urbe Palestina genitum,urbe Palestina genitum,,,,,
38460,HD035906/1,HD035906,Ταρσεὺς,Ταρσεὺς,,,,,
38493,HD035935/1,HD035935,Κα[π]ροβήλων,Κα[π]ροβήλων,,,,,
38507,HD035957/1,HD035957,Ἀθηναῖος*,Ἀθηναῖος*,,,,,
38551,HD036004/1,HD036004,domo Luco* Vocontiorum*,Luco Vocontiorum,,,,,
38561,HD036042/1,HD036042,domo+ Salonis,Salonis,,,,,
38575,HD036047/1,HD036047,Placentia,Placentia,383741.0,['Placentia'],45.0525855,9.6976645,Placentia
38578,HD036049/1,HD036049,Stobis,Stobis,,,,,
38608,HD036062/1,HD036062,Antiochia,Antiochia,912872.0,"['Jebel Khayabir', 'Alexandria', 'Antiochia', 'Spasinou Charax', 'Karkh Maisan', '[Astarabad Ardashir]']",30.719479,47.561886,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?
38623,HD036069/1,HD036069,domo* Methymneus,Methymneus,,,,,
38643,HD036079/1,HD036079,Gaditanus+*? pago R[---] natione+ Hispanus+,Gaditanus pago R[---] Hispanus,,,,,
38724,HD036114/1,HD036114,civis Germaniceus+ ex vico Abdarmisu (= Abdarmiso),Germaniceus vico Abdarmiso,,,,,
38904,HD036252/3,HD036252,Tricorniensis+,Tricorniensis,,,,,
38905,HD036253/1,HD036253,Luco,Luco,,,,,
38953,HD036280/1,HD036280,domo+ Arelate ex provincia+ Narbonensi+*,Arelate provincia Narbonensi,,,,,
39005,HD036382/1,HD036382,ἀπὸ ἐποικίου* Ἀττάλου,ἀπὸ ἐποικίου* Ἀττάλου,,,,,
39007,HD036383/1,HD036383,Φενήσιος,Φενήσιος,,,,,
39014,HD036386/1,HD036386,Λυδία,Λυδία,,,,,
39015,HD036387/1,HD036387,Ῥόδιος+?,Ῥόδιος+?,,,,,
39076,HD036437/1,HD036437,Νεσιβηνός+,Νεσιβηνός+,,,,,
39088,HD036449/1,HD036449,κώμης Μαγ,κώμης Μαγ,,,,,
39107,HD036466/1,HD036466,Mediomatrico+,Mediomatrico,,,,,
39145,HD036495/1,HD036495,domo Hascalone*,Hascalone,,,,,
39168,HD036508/1,HD036508,civis *Mediomatricus*,Mediomatricus,,,,,
39251,HD036563/1,HD036563,Mediolani,Mediolani,,,,,
39322,HD036582/1,HD036582,cives*? Aeduus+*?,Aeduus,,,,,
39379,HD036612/1,HD036612,cives (= civis) Kalagurritanus*,Kalagurritanus,,,,,
39428,HD036659/1,HD036659,Ἀνατολικός+,Ἀνατολικός+,,,,,
39439,HD036668/1,HD036668,ἀπ' ἐποικίου,ἀπ' ἐποικίου,,,,,
39442,HD036669/2,HD036669,κώμης* κ[--]προνανέων τῆς Ἀπαμέων,κώμης* κ[--]προνανέων τῆς Ἀπαμέων,,,,,
39444,HD036671/1,HD036671,domo [---],[---],,,,,
39446,HD036673/1,HD036673,ἀπὸ κώμης Αἰοῦς ὥρον Ἀπαμέων,ἀπὸ κώμης Αἰοῦς ὥρον Ἀπαμέων,,,,,
39447,HD036674/1,HD036674,Σαμαρεῖτις+,Σαμαρεῖτις+,,,,,
39455,HD036680/1,HD036680,civis* Dalmata ex municipio Magab(---),Dalmata municipio Magab(---),,,,,
39458,HD036680/4,HD036680,ex municipio Salvio,municipio Salvio,,,,,
39503,HD036716/1,HD036716,Aelia* Augusta*,Aelia Augusta,118580.0,"['Augusta Vindelicum', 'Aelia Augusta']",48.365463,10.894765,Augusta Vindelicum/Aelia Augusta
39540,HD036754/1,HD036754,κώμης* Σιγῶν,κώμης* Σιγῶν,,,,,
39546,HD036758/1,HD036758,Ἰαβάντων?,Ἰαβάντων?,,,,,
39556,HD036765/1,HD036765,Ara,Ara,,,,,
39560,HD036766/1,HD036766,Ara,Ara,,,,,
39593,HD036790/1,HD036790,cives (= civis) Helvetica*,Helvetica,,,,,
39596,HD036791/1,HD036791,Helvetia*,Helvetia,,,,,
39597,HD036791/2,HD036791,Helvetius*,Helvetius,,,,,
39665,HD036845/1,HD036845,domo+ Vienna+?,Vienna,,,,,
39706,HD036880/1,HD036880,domo Sicca Veneria,Sicca Veneria,315152.0,['Sicca Veneria'],36.18057,8.712204,Sicca Veneria
39744,HD036909/1,HD036909,domo++ Hisp(---),Hisp(---),,,,,
39805,HD036957/1,HD036957,cives Mediomatricus,Mediomatricus,,,,,
39901,HD037018/1,HD037018,Νικοπολίτην,Νικοπολίτην,,,,,
39911,HD037041/1,HD037041,Senope (= Sinope),Sinope,857321.0,['Sinope'],42.025776,35.143037,Sinope
39958,HD037124/1,HD037124,[---]olensis?,[---]olensis,,,,,
39976,HD037160/1,HD037160,domo* Carris,Carris,,,,,
40104,HD037263/1,HD037263,Savariensis*,Savariensis,,,,,
40154,HD037292/1,HD037292,domo Apamia,Apamia,,,,,
40170,HD037297/1,HD037297,ex Nicia cives (= civis) Bythynica* (= Bithynica*) originis orta,Nicia Bithynica originis orta,,,,,
40220,HD037319/1,HD037319,domo Gerasa+,Gerasa,678158.0,"['Gerasa', 'Antiochia ad Chrysorhoam']",32.2788645,35.891768,Gerasa/Antiochia ad Chrysorhoam
40222,HD037320/1,HD037320,domo Hemesa,Hemesa,,,,,
40235,HD037325/1,HD037325,domo Hemesa,Hemesa,,,,,
40258,HD037334/1,HD037334,domo Hemesa,Hemesa,,,,,
40288,HD037345/1,HD037345,natione Zoela!,Zoela,,,,,
40336,HD037367/1,HD037367,Plusaeus (= Prusaeus),Prusaeus,,,,,
40475,HD037464/1,HD037464,Baeterris*,Baeterris,,,,,
40655,HD037564/1,HD037564,domo Aquileia,Aquileia,187290.0,['Aquileia'],45.768945,13.3677735,Aquileia
40722,HD037590/1,HD037590,domo Roma qui et Carthaginensis et Sicellitanus* et Assotanus* et Lacedaemoni et Argivus et Bastetanus,Roma qui et Carthaginensis et Sicellitanus et Assotanus et Lacedaemoni et Argivus et Bastetanus,,,,,
40766,HD037620/2,HD037620,natione Surus domo Hemesa,Surus Hemesa,,,,,
40774,HD037622/1,HD037622,domi (= domo) Velauno+,Velauno,,,,,
40776,HD037623/1,HD037623,Conobariensis+?,Conobariensis,,,,,
40783,HD037627/1,HD037627,domo* Africa,Africa,775.0,['Africa'],32.5,7.5,Africa (region)
40822,HD037653/1,HD037653,domo Betavos (= Batavus),Batavus,,,,,
40929,HD037732/9,HD037732,Siscia+,Siscia,197504.0,"['Segestica', 'Siscia']",45.483168,16.371388,Segestica/Siscia
40993,HD037783/1,HD037783,Aelia Mogentiana*,Aelia Mogentiana,,,,,
41047,HD037817/1,HD037817,domu Foro Hadrianensi provincia Germania inferiori,Foro Hadrianensi provincia Germania inferiori,,,,,
41051,HD037821/1,HD037821,Roma+,Roma,423025.0,['Roma'],41.891775,12.486137,Roma
41066,HD037831/1,HD037831,domo Sisciae,Sisciae,,,,,
41122,HD037869/1,HD037869,Assotanus+,Assotanus,,,,,
41133,HD037878/1,HD037878,domo* Antiochia*,Antiochia,912872.0,"['Jebel Khayabir', 'Alexandria', 'Antiochia', 'Spasinou Charax', 'Karkh Maisan', '[Astarabad Ardashir]']",30.719479,47.561886,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?
41137,HD037879/1,HD037879,Augusta* Treverorum*,Augusta Treverorum,,,,,
41398,HD037991/1,HD037991,Ituraius* (= Ituraeus*),Ituraeus,,,,,
41590,HD038076/2,HD038076,vico Cuetrone,vico Cuetrone,,,,,
41657,HD038113/1,HD038113,domo* Batavo*,Batavo,,,,,
41744,HD038196/1,HD038196,ex regione Seugma* vico Odia, Seugma vico Odia,,,,,
41804,HD038231/1,HD038231,Isauria,Isauria,648653.0,['Isauria'],36.8834754557,32.6486095674,Isauria
41827,HD038250/1,HD038250,domo Hierapuli* cives (= civis) Surus,Hierapuli Surus,,,,,
41828,HD038251/1,HD038251,Aquileia*,Aquileia,187290.0,['Aquileia'],45.768945,13.3677735,Aquileia
41967,HD038327/1,HD038327,Surus,Surus,,,,,
41968,HD038327/2,HD038327,Surus,Surus,,,,,
41987,HD038341/2,HD038341,Falerio,Falerio,413127.0,['Falerio'],43.105492,13.470265,Falerio
42090,HD038416/1,HD038416,Roma,Roma,423025.0,['Roma'],41.891775,12.486137,Roma
42102,HD038422/1,HD038422,Araviscus (= Eraviscus),Eraviscus,,,,,
42129,HD038452/1,HD038452,Efeso,Efeso,,,,,
42151,HD038462/1,HD038462,natione Graeca*!,Graeca,,,,,
42221,HD038484/2,HD038484,domo Nico[---],Nico[---],,,,,
42365,HD038559/1,HD038559,domo [---]ia,[---]ia,,,,,
42422,HD038584/1,HD038584,Clunia+,Clunia,187350.0,['Clunia'],47.260687,9.617966,Clunia
42515,HD038627/1,HD038627,domu Ulpia Poetovione,Ulpia Poetovione,,,,,
42607,HD038668/1,HD038668,civi* Mediomatricae+*,Mediomatricae,,,,,
42612,HD038670/1,HD038670,civis* Nemes,Nemes,,,,,
42707,HD038706/1,HD038706,domo Trever!,Trever,,,,,
42715,HD038709/1,HD038709,cives (= civis) Trever,Trever,,,,,
43126,HD038873/1,HD038873,Celeia,Celeia,197206.0,['Celeia'],46.219721,15.27184,Celeia
43127,HD038874/1,HD038874,Carsulis,Carsulis,,,,,
43151,HD038886/1,HD038886,Flavia* Solva,Flavia Solva,197273.0,['Flavia Solva'],46.767482,15.562997,Flavia Solva
43336,HD038935/1,HD038935,Augusta* Treverorum+*,Augusta Treverorum,,,,,
43361,HD038945/1,HD038945,domo Asiae,Asiae,,,,,
43365,HD038947/1,HD038947,Theveste*,Theveste,324831.0,['Theveste'],35.404174,8.1223145,Theveste
43410,HD038968/1,HD038968,Antiquaria*,Antiquaria,,,,,
43423,HD038973/1,HD038973,Claudia Savaria,Claudia Savaria,,,,,
43445,HD038983/1,HD038983,Sarmizegetusa+*,Sarmizegetusa,207425.0,['Sarmizegetusa'],45.669615,23.323961,Sarmizegetusa (Regia)
43449,HD038986/1,HD038986,Iader*,Iader,197312.0,['Iader'],44.115501,15.223778,Iader
43708,HD039136/1,HD039136,Miseno,Miseno,,,,,
43852,HD039267/1,HD039267,Icosi*,Icosi,,,,,
43853,HD039267/2,HD039267,Icosi,Icosi,,,,,
43854,HD039267/3,HD039267,Praeneste,Praeneste,423013.0,['Praeneste'],41.8394835,12.8923075,Praeneste
43855,HD039267/4,HD039267,Vibo,Vibo,,,,,
43857,HD039267/6,HD039267,Malaca,Malaca,265963.0,['Malaca'],36.719658,-4.420163,Malaca
43858,HD039267/7,HD039267,Corduba,Corduba,256128.0,"['Corduba', 'Col. Patricia']",37.884683,-4.779171,Corduba/Col. Patricia
43859,HD039267/8,HD039267,Aurelia Carissa*,Aurelia Carissa,,,,,
43860,HD039267/9,HD039267,Icosi,Icosi,,,,,
43861,HD039267/10,HD039267,Baliaricus,Baliaricus,,,,,
43923,HD039341/1,HD039341,Vianna*,Vianna,,,,,
43930,HD039349/5,HD039349,Mogionibus,Mogionibus,,,,,
44014,HD039409/1,HD039409,Savaria,Savaria,197498.0,['Savaria'],47.235142,16.62192,Savaria
44025,HD039414/1,HD039414,domo*? ex civitate Zeugma, tate Zeugma,,,,,
44027,HD039415/1,HD039415,cives (= civis) Surus ex regione* Dolicu (= Doliche?),Surus  Doliche,,,,,
44039,HD039420/1,HD039420,domo* Sergia Karnunto,Sergia Karnunto,,,,,
44066,HD039432/1,HD039432,Dianium,Dianium,265880.0,"['Dianium', 'Hemeroskopeion']",38.842795,0.107511,Dianium/Hemeroskopeion
44080,HD039438/1,HD039438,Andautonia,Andautonia,197113.0,['Andautonia'],45.773624,16.11724,Andautonia
44109,HD039451/1,HD039451,Nemauso*,Nemauso,,,,,
44161,HD039474/1,HD039474,domo Sala,Sala,275696.0,['Sala'],34.010929,-6.827115,Sala
44165,HD039476/1,HD039476,Savaria*,Savaria,197498.0,['Savaria'],47.235142,16.62192,Savaria
44186,HD039484/1,HD039484,Siscia*,Siscia,197504.0,"['Segestica', 'Siscia']",45.483168,16.371388,Segestica/Siscia
44250,HD039525/1,HD039525,Icconio (= Iconio),Iconio,,,,,
44295,HD039547/1,HD039547,domo Archelaide*,Archelaide,,,,,
44479,HD039659/1,HD039659,Hispanus+,Hispanus,,,,,
44563,HD039712/1,HD039712,civis* Carthaginensis,Carthaginensis,,,,,
44579,HD039722/1,HD039722,Edessa,Edessa,658457.0,"['Edessa', 'Antiochia ad Callirhoem']",37.148633,38.786696,Edessa/Antiochia ad Callirhoem
44590,HD039734/1,HD039734,Ubius?,Ubius,,,,,
44689,HD039805/1,HD039805,domo* Sinope,Sinope,857321.0,['Sinope'],42.025776,35.143037,Sinope
44694,HD039810/1,HD039810,domo R[---],R[---],,,,,
44712,HD039822/1,HD039822,Celtianis,Celtianis,305058.0,['Celtianis'],36.838344,6.588689,Celtianis
44759,HD039866/1,HD039866,Laranda,Laranda,648693.0,['Laranda'],37.1784506667,33.221586,Laranda
44763,HD039870/1,HD039870,Heraclea+,Heraclea,844944.0,['Heraclea'],41.2832553333,31.4174136667,Heraclea
44765,HD039871/1,HD039871,Heraclea,Heraclea,844944.0,['Heraclea'],41.2832553333,31.4174136667,Heraclea
44781,HD039884/1,HD039884,domo Arretio,Arretio,,,,,
44893,HD039978/3,HD039978,Lugudunensis+,Lugudunensis,,,,,
44933,HD039996/1,HD039996,domo Pessinunte,Pessinunte,,,,,
44985,HD040035/1,HD040035,Ma[---],Ma[---],,,,,
45056,HD040089/1,HD040089,domo+ Verona,Verona,383816.0,['Verona'],45.4421295463,10.9957360051,Verona
45060,HD040092/1,HD040092,domo* Emona*,Emona,197258.0,['Emona'],46.051425,14.505963,Emona
45073,HD040101/1,HD040101,domo+ [---],[---],,,,,
45152,HD040156/1,HD040156,Augusta,Augusta,648577.0,"['Augusta', 'Augustopolis', '[Thebae]']",37.245212,35.344087,Augusta/Augustopolis/[Thebae]?
45153,HD040157/1,HD040157,Ancyra,Ancyra,619103.0,['Ancyra'],39.9437925,32.859333,Ancyra
45198,HD040196/1,HD040196,civis* Graecus* ex regione* Laodicea*,Graecus  Laodicea,,,,,
45320,HD040282/1,HD040282,domo* Antiochia*,Antiochia,912872.0,"['Jebel Khayabir', 'Alexandria', 'Antiochia', 'Spasinou Charax', 'Karkh Maisan', '[Astarabad Ardashir]']",30.719479,47.561886,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?
45488,HD040434/1,HD040434,domo* Sergia*,Sergia,,,,,
45519,HD040449/1,HD040449,Agrippinensis*,Agrippinensis,,,,,
45547,HD040465/1,HD040465,Viana,Viana,,,,,
45549,HD040466/1,HD040466,natus Salonis,Salonis,,,,,
45550,HD040466/2,HD040466,natus Salonis,Salonis,,,,,
45593,HD040483/1,HD040483,domo* Lucocadiacus,Lucocadiacus,,,,,
45595,HD040483/3,HD040483,Lanciensis*,Lanciensis,,,,,
45597,HD040483/5,HD040483,Aligantiensis*,Aligantiensis,,,,,
45648,HD040529/1,HD040529,Epheso,Epheso,,,,,
45659,HD040533/1,HD040533,domo Ityraeus,Ityraeus,,,,,
45669,HD040535/1,HD040535,colonia*? [---]?,colonia [---],,,,,
45679,HD040538/1,HD040538,Siscianus,Siscianus,,,,,
45688,HD040540/1,HD040540,domo Bessus,Bessus,,,,,
45708,HD040546/1,HD040546,domo* Africa*,Africa,775.0,['Africa'],32.5,7.5,Africa (region)
45736,HD040561/1,HD040561,domo+ [---],[---],,,,,
46376,HD041115/1,HD041115,Foro Iuli,Foro Iuli,,,,,
46378,HD041116/1,HD041116,Bessus,Bessus,,,,,
46380,HD041117/1,HD041117,Berta,Berta,,,,,
46527,HD041236/1,HD041236,civi[s ---]v[---],[s ---]v[---],,,,,
46532,HD041240/1,HD041240,Raetus,Raetus,,,,,
46535,HD041243/1,HD041243,natione Batavus*,Batavus,,,,,
46540,HD041247/1,HD041247,Brixia+,Brixia,383603.0,['Brixia'],45.539773,10.223135,Brixia
46547,HD041254/1,HD041254,civis Secuanus (= Sequanus),Sequanus,,,,,
46552,HD041258/1,HD041258,cives (= civis) Sappaus,Sappaus,,,,,
47156,HD041791/1,HD041791,Tarraconensis*,Tarraconensis,991326.0,['Tarraconensis'],42.5,-2.5,Tarraconensis
47157,HD041792/1,HD041792,Segontia,Segontia,246639.0,['Segontia'],41.069585,-2.642246,Segontia
47269,HD041867/1,HD041867,Saetabis,Saetabis,266018.0,['Saetabis'],38.98846075,-0.51780685,Saetabis
47417,HD041960/1,HD041960,civis+ [---],[---],,,,,
47420,HD041965/1,HD041965,Taunensis*?,Taunensis,,,,,
47421,HD041967/1,HD041967,Taunensis,Taunensis,,,,,
47422,HD041967/2,HD041967,Taunensis,Taunensis,,,,,
47423,HD041967/3,HD041967,Taunensis,Taunensis,,,,,
47431,HD041976/1,HD041976,civis* Mediomatricus*,Mediomatricus,,,,,
47463,HD042000/4,HD042000,Nemes,Nemes,,,,,
47487,HD042011/1,HD042011,Hemesa,Hemesa,,,,,
47488,HD042012/1,HD042012,Amastri,Amastri,,,,,
47495,HD042014/1,HD042014,natus Amastris,Amastris,844856.0,"['Amastris', 'Sesamos']",41.746969,32.385648,Amastris/Sesamos
47550,HD042036/1,HD042036,Siscia*,Siscia,197504.0,"['Segestica', 'Siscia']",45.483168,16.371388,Segestica/Siscia
47554,HD042037/1,HD042037,domo* Amasia,Amasia,,,,,
47682,HD042096/1,HD042096,Nicopoli,Nicopoli,,,,,
47721,HD042111/1,HD042111,Tomitana,Tomitana,,,,,
47728,HD042119/1,HD042119,Perintho*,Perintho,,,,,
47743,HD042132/1,HD042132,Asitio?,Asitio,,,,,
47763,HD042145/1,HD042145,Clunia*,Clunia,187350.0,['Clunia'],47.260687,9.617966,Clunia
47820,HD042187/1,HD042187,Iamo,Iamo,265916.0,"['Iamo', 'Iamna']",40.002343,3.839243,Iamo/Iamna
47888,HD042245/1,HD042245,Palma,Palma,265998.0,['Palma'],39.569443,2.649993,Palma
47889,HD042246/1,HD042246,Palma,Palma,265998.0,['Palma'],39.569443,2.649993,Palma
47890,HD042247/1,HD042247,Baleares Palma Guium,Baleares Palma Guium,,,,,
47900,HD042254/1,HD042254,Massacis,Massacis,,,,,
47978,HD042316/1,HD042316,NI[---]?,NI[---],,,,,
47993,HD042325/1,HD042325,Synaus,Synaus,,,,,
48040,HD042341/1,HD042341,Luca,Luca,403234.0,['Luca'],43.84184,10.50703,Luca
48052,HD042349/1,HD042349,Delmata* kastello* Starvae,Delmata kastello Starvae,,,,,
48054,HD042350/1,HD042350,civis Batavi+,Batavi,118590.0,['Batavi'],48.573506,13.463921,Batavi
48101,HD042372/1,HD042372,Arimini,Arimini,,,,,
48102,HD042373/1,HD042373,Aspendo,Aspendo,,,,,
48212,HD042408/1,HD042408,domo Brixia,Brixia,383603.0,['Brixia'],45.539773,10.223135,Brixia
48213,HD042409/1,HD042409,domo+* Nicopoli*,Nicopoli,,,,,
48222,HD042414/1,HD042414,domo+ Oesci,Oesci,,,,,
48263,HD042429/1,HD042429,Dam[---]?,Dam[---],,,,,
48269,HD042431/1,HD042431,domo Trumplia,Trumplia,,,,,
48393,HD042502/1,HD042502,Biturex+,Bitur,,,,,
48407,HD042510/1,HD042510,domo Thaenis,Thaenis,,,,,
48416,HD042515/1,HD042515,Savaria,Savaria,197498.0,['Savaria'],47.235142,16.62192,Savaria
48479,HD042553/3,HD042553,domo Philadelphia+,Philadelphia,,,,,
48481,HD042555/1,HD042555,Bononia,Bononia,393421.0,"['Felsina', 'Bononia']",44.4945737,11.3455467,Felsina/Bononia
48506,HD042573/1,HD042573,Napucae (= Napocae),Napocae,,,,,
48602,HD042630/1,HD042630,Oescensis*,Oescensis,,,,,
48603,HD042630/2,HD042630,Damasco,Damasco,,,,,
48661,HD042667/1,HD042667,domo [---],[---],,,,,
48663,HD042669/1,HD042669,Heraclea*,Heraclea,844944.0,['Heraclea'],41.2832553333,31.4174136667,Heraclea
48686,HD042691/1,HD042691,Ticino,Ticino,,,,,
48764,HD042742/2,HD042742,Singiduni+?,Singiduni,,,,,
48818,HD042811/1,HD042811,Νεικεύς,Νεικεύς,,,,,
48826,HD042818/1,HD042818,Stobis*,Stobis,,,,,
49003,HD042851/1,HD042851,Sagalasso+,Sagalasso,,,,,
49076,HD042886/1,HD042886,civis Ambianesis+,Ambianesis,,,,,
49252,HD042972/1,HD042972,Laurenti+* Lavinati*,Laurenti Lavinati,,,,,
49296,HD042997/1,HD042997,Tiana,Tiana,,,,,
49297,HD042997/2,HD042997,Nicomedia,Nicomedia,511337.0,['Nicomedia'],40.7651905,29.919887,Nicomedia
49298,HD042997/3,HD042997,natus* Abonutichu (= Abonoteicho),Abonoteicho,,,,,
49299,HD042997/4,HD042997,natus* Heraclia,Heraclia,,,,,
49300,HD042997/5,HD042997,natus* Abonutichu (= Abonoteicho),Abonoteicho,,,,,
49301,HD042997/6,HD042997,natus* Perintho,Perintho,,,,,
49302,HD042997/7,HD042997,natus* Nicomedia,Nicomedia,511337.0,['Nicomedia'],40.7651905,29.919887,Nicomedia
49303,HD042997/8,HD042997,natus* Caesaria (= Caesarea),Caesarea,629035.0,"['Mazaka', 'Eusebeia', 'Caesarea']",38.728033,35.484989,Mazaka/Eusebeia/Caesarea
49304,HD042997/9,HD042997,natus* Tio,Tio,,,,,
49305,HD042997/10,HD042997,natus* Mazaca,Mazaca,,,,,
49306,HD042997/11,HD042997,natus* Tio,Tio,,,,,
49307,HD042997/12,HD042997,[--]cii[---]?,[--]cii[---],,,,,
49316,HD043002/1,HD043002,Roma,Roma,423025.0,['Roma'],41.891775,12.486137,Roma
49329,HD043010/1,HD043010,domo* Hadrianopoli+*,Hadrianopoli,,,,,
49345,HD043019/1,HD043019,a vico Clementiano+*,a vico Clementiano,,,,,
49366,HD043030/3,HD043030,Aquileiensis+,Aquileiensis,,,,,
49414,HD043053/1,HD043053,domo Ratiaria,Ratiaria,207376.0,['Ratiaria'],43.813575,22.9122725,Ratiaria
49435,HD043061/1,HD043061,domo Capetoliade (= Capitoliade),Capitoliade,,,,,
49456,HD043075/1,HD043075,Pessennunto (= Pessenunto),Pessenunto,,,,,
49469,HD043084/1,HD043084,Καππάδοξ ὁ καὶ Φιλιπποπολείτης,Καππάδοξ ὁ καὶ Φιλιπποπολείτης,,,,,
49485,HD043096/1,HD043096,Ἐμεσηνέ,Ἐμεσηνέ,,,,,
49687,HD043170/1,HD043170,Fundis*,Fundis,,,,,
49748,HD043201/1,HD043201,Ancyra*,Ancyra,619103.0,['Ancyra'],39.9437925,32.859333,Ancyra
49754,HD043203/1,HD043203,Karthagine,Karthagine,,,,,
49758,HD043204/1,HD043204,Oesci,Oesci,,,,,
49760,HD043205/1,HD043205,domo* Laodicea* Syriae,Laodicea Syriae,,,,,
