,id,hd_nr,origo,origo_clean,pleiades_id,pleiades_title_list,pleiades_Latitude,pleiades_Longitude,pleiades_title
4032,HD001774/1,HD001774,Siscia,Siscia,197504.0,"['Segestica', 'Siscia']",45.483168,16.371388,Segestica/Siscia
4034,HD001775/1,HD001775,ex colonia Catinense,colonia Catinense,,,,,
4130,HD001812/1,HD001812,Chalcis*,Chalcis,540703.0,['Chalcis'],38.457139,23.621937,Chalcis
4140,HD001818/1,HD001818,domo Iulia Tridentum,Iulia Tridentum,,,,,
4145,HD001821/1,HD001821,domo Zigali Afer,Zigali Afer,,,,,
4188,HD001847/1,HD001847,Beneventum*,Beneventum,432721.0,"['Beneventum', 'Maleventum']",41.130437,14.781161,Beneventum/Maleventum
4226,HD001876/1,HD001876,Emerita*,Emerita,,,,,
4284,HD001909/1,HD001909,Corneliensis,Corneliensis,,,,,
4295,HD001914/1,HD001914,ex provincia Lugdunensi,provincia Lugdunensi,,,,,
4330,HD001924/1,HD001924,Mediolanensis*,Mediolanensis,,,,,
4426,HD001973/1,HD001973,Roma,Roma,423025.0,['Roma'],41.891775,12.486137,Roma
4505,HD002004/1,HD002004,Verona,Verona,383816.0,['Verona'],45.4421295463,10.9957360051,Verona
4541,HD002023/1,HD002023,natus in Dardania+,in Dardania,,,,,
4610,HD002045/6,HD002045,Pannonius*,Pannonius,,,,,
4633,HD002055/1,HD002055,Berua,Berua,397889.0,['Berua'],,,Berua
4640,HD002058/1,HD002058,Vicetia,Vicetia,393513.0,['Vicetia'],45.545773,11.540277,Vicetia
4660,HD002070/1,HD002070,Luco*,Luco,,,,,
4739,HD002091/1,HD002091,ex regione Scadiesiana vico, Scadiesiana vico,,,,,
4771,HD002111/1,HD002111,Trever*,Trever,,,,,
4772,HD002111/2,HD002111,Trever*,Trever,,,,,
4803,HD002125/5,HD002125,Ovilavis,Ovilavis,,,,,
4806,HD002127/1,HD002127,Artigiensis+,Artigiensis,,,,,
4811,HD002130/1,HD002130,Olisiponensis*,Olisiponensis,,,,,
4812,HD002131/1,HD002131,Arausiensis,Arausiensis,,,,,
5256,HD002325/1,HD002325,Putiolanus* (= Puteolanus),Puteolanus,,,,,
6063,HD002718/1,HD002718,natione* Bessus,Bessus,,,,,
6075,HD002724/1,HD002724,Veronensis,Veronensis,,,,,
6272,HD002821/1,HD002821,Dertona,Dertona,383633.0,['Dertona'],44.897171,8.865452,Dertona
6296,HD002837/1,HD002837,Catintaninus?,Catintaninus,,,,,
6427,HD002899/1,HD002899,Balatucelo natione*,Balatucelo ,,,,,
6451,HD002914/1,HD002914,cives (= civis) Camunna,Camunna,,,,,
6488,HD002934/1,HD002934,Cluniesis* (= Cluniensis*),Cluniensis,,,,,
6676,HD003007/1,HD003007,Alexandrinus,Alandrinus,,,,,
6703,HD003017/1,HD003017,Rusucuru+ (= Rusuccuru+),Rusuccuru,295334.0,['Rusuccuru'],36.9128545,3.9096445,Rusuccuru
6724,HD003029/1,HD003029,Edebensis,Edebensis,,,,,
6734,HD003034/5,HD003034,Ceramieta,Ceramieta,,,,,
6743,HD003040/2,HD003040,Clusio+,Clusio,,,,,
6744,HD003040/3,HD003040,Aveia,Aveia,413046.0,['Aveia'],42.295745,13.487411,Aveia
6745,HD003040/4,HD003040,Mantua*,Mantua,383704.0,['Mantua'],45.160646,10.7976015,Mantua
6746,HD003040/5,HD003040,Arna*,Arna,413030.0,['Arna'],43.127841,12.4860485,Arna
6747,HD003040/6,HD003040,Laude Pompeia*,Laude Pompeia,,,,,
6749,HD003040/8,HD003040,Ticino*,Ticino,,,,,
6750,HD003040/9,HD003040,Capua,Capua,432754.0,['Capua'],41.0860925,14.250207,Capua
6751,HD003040/10,HD003040,Cremona*,Cremona,383628.0,['Cremona'],45.133639,10.026149,Cremona
6752,HD003040/11,HD003040,Carteia*,Carteia,256063.0,"['Carteia', 'Calpe', 'Karpessos']",36.183163,-5.410359,Carteia/Calpe/Karpessos
6753,HD003040/12,HD003040,Roma,Roma,423025.0,['Roma'],41.891775,12.486137,Roma
6754,HD003040/13,HD003040,Parma,Parma,383737.0,['Parma'],44.801507,10.327967,Parma
6756,HD003040/15,HD003040,Cius,Cius,216770.0,['Cius'],44.77792,28.09352,Cius
6757,HD003040/16,HD003040,Falerio,Falerio,413127.0,['Falerio'],43.105492,13.470265,Falerio
