Column,origo_clean,id
415,NA,HD000227
416,NA,HD000228
417,NA,HD000228
418,NA,HD000229
419,NA,HD000229
420,NA,HD000229
421,NA,HD000230
422,NA,HD000230
423,NA,HD000230
424,NA,HD000230
425,NA,HD000231
426,NA,HD000231
427,NA,HD000231
428,NA,HD000231
429,NA,HD000231
430,NA,HD000232
431,NA,HD000232
432,NA,HD000233
433,NA,HD000233
434,NA,HD000234
435,NA,HD000235
436,NA,HD000235
437,NA,HD000236
438,NA,HD000236
439,NA,HD000237
440,NA,HD000238
441,NA,HD000238
442,NA,HD000239
443,NA,HD000239
444,NA,HD000241
445,NA,HD000241
446,NA,HD000242
447,NA,HD000243
448,NA,HD000243
449,NA,HD000243
450,NA,HD000244
451,NA,HD000244
452,NA,HD000245
453,NA,HD000246
454,NA,HD000246
455,NA,HD000247
456,NA,HD000247
457,NA,HD000247
458,NA,HD000248
459,NA,HD000248
460,NA,HD000249
461,NA,HD000250
462,NA,HD000251
463,NA,HD000252
464,NA,HD000253
465,NA,HD000253
466,NA,HD000253
467,NA,HD000254
468,NA,HD000255
469,NA,HD000256
470,NA,HD000256
471,NA,HD000257
472,NA,HD000257
473,NA,HD000257
474,NA,HD000257
475,NA,HD000257
476,NA,HD000257
477,NA,HD000257
478,NA,HD000257
479,NA,HD000258
480,NA,HD000259
481,NA,HD000259
482,NA,HD000261
483,NA,HD000261
484,NA,HD000262
485,NA,HD000262
486,NA,HD000263
487,NA,HD000263
488,NA,HD000263
489,NA,HD000263
490,NA,HD000263
491,NA,HD000263
492,NA,HD000263
493,NA,HD000264
494,NA,HD000265
495,NA,HD000266
496,NA,HD000266
497,NA,HD000266
498,NA,HD000266
499,Igabrensis,HD000267
500,NA,HD000267
501,NA,HD000268
502,NA,HD000269
503,NA,HD000269
504,NA,HD000269
505,NA,HD000269
506,NA,HD000270
507,NA,HD000270
508,NA,HD000270
509,NA,HD000270
510,NA,HD000270
511,NA,HD000270
512,NA,HD000270
513,NA,HD000271
514,NA,HD000271
515,NA,HD000272
516,NA,HD000272
517,NA,HD000272
518,Turdulus Vetus,HD000272
519,Turdulus Vetus,HD000272
520,Turdulus Vetus,HD000272
521,NA,HD000273
522,NA,HD000274
523,NA,HD000275
524,NA,HD000275
525,NA,HD000275
526,Turduleis Veteribus,HD000275
527,NA,HD000275
528,NA,HD000276
529,NA,HD000277
